customer_id,gender,partner,family,senior,mobile,dual_sim,device_insurance,internet,web_security,cloud,support,tv_replay,video_on_demand,subscription,paperless_invoice,payment_method,monthly_fee,months,total_revenue,churn
APPT-002301,female,no,no,no,yes,no,no,dsl,no,yes,no,no,no,one_month,no,e_invoice,48.85,15,736.8,no
APPT-002302,female,no,no,no,yes,yes,no,dsl,yes,no,no,no,yes,one_month,yes,bank_transfer,64.65,15,994.55,yes
APPT-002305,female,yes,no,no,yes,no,no,dsl,yes,yes,no,no,no,one_month,yes,direct_debit,53.55,1,53.55,no
APPT-002329,female,no,no,no,yes,no,no,dsl,yes,no,yes,no,no,one_year,no,direct_debit,55.7,14,795.15,no
APPT-002420,male,yes,no,no,yes,yes,no,fiber_optic,no,no,yes,no,no,one_year,yes,e_invoice,79.25,32,2619.15,no
APPT-002465,male,no,yes,no,yes,yes,yes,fiber_optic,no,no,no,yes,yes,two_years,no,bank_transfer,99.7,45,4634.35,no
APPT-002610,male,yes,no,no,yes,yes,yes,fiber_optic,no,yes,no,yes,yes,one_year,yes,bank_transfer,106.8,51,5498.8,no
APPT-002624,male,yes,yes,no,yes,yes,no,dsl,no,no,no,yes,no,one_month,no,e_invoice,60.35,25,1404.65,no
APPT-002665,female,yes,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,bank_transfer,19.25,20,375.25,no
APPT-002686,female,no,yes,no,no,no,no,dsl,yes,yes,yes,no,no,one_year,no,direct_debit,40.25,10,411.45,no
APPT-002851,male,no,no,no,no,no,no,dsl,yes,yes,yes,no,no,one_month,no,direct_debit,42.4,4,146.4,no
APPT-002925,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,credit_card,20.5,21,402.85,no
APPT-002976,female,yes,no,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,two_years,yes,bank_transfer,113.65,72,8182.75,no
APPT-002988,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,yes,direct_debit,19.95,7,147.5,no
APPT-002991,female,yes,no,no,yes,no,no,fiber_optic,yes,yes,yes,yes,yes,one_year,yes,credit_card,106.4,69,7251.9,no
APPT-003061,male,no,no,no,yes,yes,no,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,82.35,21,1852.85,yes
APPT-003155,female,no,no,yes,yes,yes,yes,fiber_optic,no,no,no,no,yes,one_month,yes,e_invoice,88.85,4,372.45,yes
APPT-003186,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,e_invoice,19.55,3,61.05,no
APPT-003242,male,yes,no,yes,yes,no,no,fiber_optic,no,no,no,no,no,one_month,no,e_invoice,70.1,2,141.65,no
APPT-003496,female,no,no,no,yes,no,yes,fiber_optic,no,yes,no,yes,yes,one_year,yes,direct_debit,100.3,53,5200.8,no
APPT-003595,male,no,no,no,yes,yes,no,fiber_optic,yes,no,yes,yes,yes,one_month,yes,direct_debit,105.35,56,5794.45,no
APPT-003741,male,yes,yes,no,yes,no,no,dsl,yes,yes,yes,no,no,one_month,yes,direct_debit,57.95,22,1271.8,no
APPT-003814,male,no,no,no,yes,no,no,fiber_optic,yes,no,no,no,yes,one_month,yes,direct_debit,86.05,3,244.85,no
APPT-003827,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,20.2,29,558.8,no
APPT-003853,male,no,yes,no,yes,no,no,dsl,no,no,no,yes,no,one_month,no,e_invoice,55.35,9,449.75,yes
APPT-003880,male,no,no,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,credit_card,71.3,2,157.75,no
APPT-004196,female,no,yes,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,bank_transfer,19.3,16,360.35,no
APPT-004216,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.55,6,124.45,no
APPT-004249,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,yes,direct_debit,19.4,53,1110.35,no
APPT-004283,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,direct_debit,20.35,1,20.35,no
APPT-004305,male,yes,no,no,yes,no,yes,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,80,40,3168.75,no
APPT-004327,female,yes,no,no,yes,yes,yes,fiber_optic,no,no,no,no,yes,one_month,no,direct_debit,89.65,19,1761.05,yes
APPT-004387,male,yes,no,yes,yes,yes,yes,fiber_optic,yes,no,yes,yes,yes,one_month,yes,bank_transfer,109.9,33,3694.7,no
APPT-004516,male,yes,yes,no,yes,yes,yes,fiber_optic,yes,yes,yes,no,no,two_years,no,credit_card,94.55,65,6078.75,no
APPT-004552,male,yes,no,no,yes,yes,yes,fiber_optic,yes,yes,no,yes,yes,one_year,no,credit_card,109.9,67,7332.4,no
APPT-004689,male,no,yes,no,yes,no,no,dsl,no,no,no,no,no,one_month,yes,e_invoice,44.4,1,44.4,yes
APPT-004820,female,yes,yes,no,no,no,no,dsl,yes,no,yes,yes,no,two_years,yes,credit_card,46.35,35,1662.05,no
APPT-004881,male,no,no,yes,yes,yes,no,fiber_optic,no,yes,yes,yes,yes,two_years,yes,e_invoice,106.8,71,7623.2,no
APPT-005019,male,no,no,no,yes,no,no,fiber_optic,yes,yes,no,yes,yes,one_year,yes,direct_debit,100.9,55,5552.05,no
APPT-005224,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,one_year,no,e_invoice,24.85,44,1013.6,no
APPT-005371,female,no,no,no,yes,no,yes,dsl,yes,no,no,no,no,one_year,yes,credit_card,54.45,68,3674.95,no
APPT-005400,female,yes,yes,yes,yes,yes,no,fiber_optic,yes,yes,yes,yes,yes,one_month,yes,e_invoice,110.2,46,4972.1,no
APPT-005432,male,no,no,no,yes,yes,no,fiber_optic,no,yes,no,yes,yes,one_month,yes,e_invoice,99.95,19,1931.75,yes
APPT-005545,female,no,yes,no,yes,no,no,fiber_optic,no,no,no,no,no,two_years,no,credit_card,70.35,50,3533.6,no
APPT-005573,male,no,no,no,yes,yes,yes,dsl,no,no,no,yes,yes,one_month,no,bank_transfer,74.75,12,827.05,no
APPT-005615,female,yes,no,yes,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,two_years,yes,bank_transfer,116.05,60,6925.9,no
APPT-005715,female,no,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,credit_card,20.15,50,970.85,no
APPT-005851,female,no,no,no,yes,no,no,dsl,no,no,no,no,no,one_month,yes,bank_transfer,45,12,524.35,no
APPT-005925,female,yes,yes,no,yes,no,yes,dsl,no,yes,no,no,no,one_month,yes,direct_debit,55.55,10,551.3,no
APPT-005979,male,yes,no,no,yes,no,no,dsl,yes,no,yes,no,no,two_years,no,bank_transfer,54.5,71,3778.2,no
APPT-006001,male,yes,yes,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,two_years,yes,credit_card,114.05,72,8468.2,no
APPT-006021,male,no,no,no,yes,yes,yes,fiber_optic,no,yes,no,yes,yes,one_month,no,direct_debit,107.95,3,313.6,no
APPT-006086,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,credit_card,20.8,24,469.65,no
APPT-006120,female,yes,yes,no,yes,no,yes,dsl,yes,yes,yes,no,no,one_month,no,direct_debit,65,9,663.05,yes
APPT-006369,male,yes,no,no,yes,no,no,fiber_optic,no,yes,yes,yes,yes,one_year,yes,e_invoice,100.3,68,6754.35,no
APPT-006496,female,no,no,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,no,one_year,yes,bank_transfer,104.55,66,6779.05,no
APPT-006534,male,no,no,no,yes,no,no,fiber_optic,no,no,yes,yes,yes,one_month,yes,e_invoice,96.2,32,3183.4,yes
APPT-006570,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,direct_debit,20.35,2,45.3,no
APPT-006677,male,no,no,no,yes,yes,yes,dsl,no,no,yes,yes,yes,one_year,yes,credit_card,82,18,1425.45,yes
APPT-006767,female,yes,yes,no,yes,yes,yes,fiber_optic,yes,no,yes,yes,yes,two_years,yes,bank_transfer,109.05,68,7508.55,no
APPT-006850,female,no,no,no,yes,yes,no,fiber_optic,no,no,no,yes,yes,one_month,yes,direct_debit,94.55,27,2724.6,yes
APPT-006866,female,yes,no,yes,yes,yes,no,fiber_optic,no,no,no,no,no,two_years,yes,credit_card,75.65,70,5411.4,no
APPT-006982,female,no,no,yes,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,e_invoice,70.55,1,70.55,yes
APPT-007008,male,yes,no,no,yes,yes,yes,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,82.65,14,1185,no
APPT-007061,male,no,no,no,yes,yes,no,fiber_optic,no,no,no,yes,no,one_month,yes,e_invoice,84.9,40,3369.05,no
APPT-007192,male,yes,yes,no,yes,no,no,dsl,yes,yes,no,no,no,one_month,yes,credit_card,54.75,27,1510.3,no
APPT-007197,female,yes,yes,no,no,no,no,dsl,yes,yes,no,no,no,one_month,no,bank_transfer,35.05,46,1620.25,no
APPT-007235,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_year,no,direct_debit,19.7,12,260.9,no
APPT-007283,male,yes,yes,no,yes,no,no,fiber_optic,no,no,no,yes,yes,one_month,yes,e_invoice,90.1,1,90.1,no
APPT-007467,male,yes,yes,no,yes,no,no,dsl,yes,no,no,no,no,one_month,yes,e_invoice,49.15,6,295.65,no
APPT-007528,female,no,no,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,no,bank_transfer,70.25,41,2868.05,yes
APPT-007545,female,yes,yes,no,no,no,yes,dsl,yes,no,yes,yes,yes,one_year,no,direct_debit,61.25,34,1993.2,no
APPT-007614,female,no,no,yes,yes,no,no,fiber_optic,no,no,no,no,no,one_month,no,e_invoice,70.75,2,154.85,yes
APPT-007670,male,no,no,yes,yes,yes,no,fiber_optic,no,no,no,yes,no,one_month,yes,credit_card,86.05,47,3865.6,no
APPT-007693,male,yes,yes,no,yes,no,no,fiber_optic,yes,no,yes,yes,yes,one_month,yes,e_invoice,99.85,23,2331.3,yes
APPT-007722,female,no,no,yes,no,no,yes,dsl,yes,no,yes,no,no,two_years,no,direct_debit,39.7,14,692.35,no
APPT-007746,male,no,no,no,yes,no,no,fiber_optic,no,no,no,yes,yes,one_month,yes,e_invoice,90.55,1,90.55,yes
APPT-007791,female,yes,yes,no,yes,yes,yes,dsl,no,yes,yes,yes,yes,two_years,no,bank_transfer,85.3,68,5560,no
APPT-007837,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.9,4,76.65,no
APPT-007869,male,yes,yes,no,yes,no,no,dsl,yes,no,no,no,no,one_month,yes,direct_debit,48.75,1,48.75,no
APPT-007955,female,no,yes,no,yes,yes,no,dsl,no,no,no,no,no,one_month,no,direct_debit,50.15,35,1655.35,no
APPT-008004,male,no,no,no,yes,yes,no,fiber_optic,no,no,no,no,no,one_month,yes,credit_card,75.35,43,3161.4,no
APPT-008036,female,yes,no,no,yes,yes,yes,fiber_optic,no,no,yes,no,no,one_month,yes,e_invoice,84.3,42,3588.4,yes
APPT-008188,male,no,no,no,yes,no,no,dsl,no,no,yes,yes,yes,one_month,yes,e_invoice,69.35,3,191.35,yes
APPT-008205,female,no,no,yes,yes,no,no,fiber_optic,yes,yes,yes,yes,no,two_years,yes,bank_transfer,92.45,67,6140.85,no
APPT-008267,female,yes,yes,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,two_years,yes,credit_card,116.8,72,8456.75,no
APPT-008392,male,no,no,no,no,no,no,dsl,no,yes,no,yes,no,one_month,yes,e_invoice,39.3,57,2111.45,yes
APPT-008492,female,yes,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,credit_card,20.05,54,1102.4,no
APPT-008657,female,yes,yes,no,yes,yes,yes,fiber_optic,yes,yes,no,no,yes,one_year,yes,bank_transfer,101.6,41,3930.55,no
APPT-008781,male,no,no,yes,yes,yes,yes,dsl,no,yes,no,yes,yes,two_years,yes,bank_transfer,79.75,57,4438.2,no
APPT-009033,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,direct_debit,20.15,9,163.7,no
APPT-009036,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.15,17,343.45,no
APPT-009055,female,yes,no,yes,yes,no,no,fiber_optic,no,yes,no,no,no,one_month,yes,bank_transfer,74.6,3,239.05,no
APPT-009134,female,yes,yes,no,yes,yes,yes,dsl,yes,yes,no,yes,no,one_year,yes,credit_card,78.35,41,3211.2,no
APPT-009141,male,no,yes,no,yes,yes,yes,dsl,yes,no,yes,yes,yes,two_years,yes,e_invoice,84.95,60,4984.85,no
APPT-009164,male,yes,no,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,e_invoice,69.35,7,451.1,yes
APPT-009189,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,no,credit_card,23.9,71,1626.4,no
APPT-009234,male,yes,no,no,no,no,yes,dsl,no,no,no,yes,yes,one_month,yes,e_invoice,50.35,1,50.35,yes
APPT-009320,male,yes,yes,no,yes,no,yes,dsl,no,no,yes,yes,yes,two_years,no,direct_debit,75.55,29,2054.4,no
APPT-009371,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,20.05,20,400,no
APPT-009478,female,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,one_year,yes,credit_card,24.5,58,1497.9,no
APPT-009499,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,yes,bank_transfer,21.3,47,1041.8,no
APPT-009584,female,no,no,no,yes,yes,no,fiber_optic,no,no,no,no,no,one_month,yes,e_invoice,75.8,3,246.3,yes
APPT-009610,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,direct_debit,20.05,1,20.05,no
APPT-009730,male,no,no,no,yes,yes,no,fiber_optic,no,no,no,yes,no,one_month,yes,e_invoice,85.5,9,791.7,no
APPT-009842,male,no,no,no,yes,no,no,fiber_optic,no,no,yes,no,yes,one_year,yes,credit_card,87.7,19,1725.95,no
APPT-009907,male,no,no,no,yes,no,no,dsl,no,no,yes,no,no,one_month,yes,direct_debit,50.5,3,147.75,no
APPT-009914,male,no,no,no,yes,no,no,dsl,yes,no,no,no,no,one_month,yes,direct_debit,50.75,1,50.75,no
APPT-009959,male,yes,yes,no,yes,no,yes,fiber_optic,no,no,no,yes,yes,one_month,yes,bank_transfer,92.95,44,4122.9,no
APPT-009973,male,no,no,no,yes,no,no,dsl,no,no,no,yes,no,one_month,no,credit_card,53.4,3,188.7,yes
APPT-009976,female,yes,yes,no,yes,yes,no,fiber_optic,no,no,yes,no,yes,one_year,yes,bank_transfer,89.35,19,1686.85,no
APPT-009992,male,yes,yes,no,yes,no,yes,dsl,yes,no,no,no,yes,one_year,yes,credit_card,63.7,36,2188.5,no
APPT-010069,female,no,no,yes,yes,no,yes,dsl,yes,no,yes,yes,no,two_years,no,bank_transfer,69.85,57,4003,no
APPT-010134,female,yes,no,yes,yes,no,no,fiber_optic,yes,yes,no,no,yes,one_year,no,credit_card,87.3,69,6055.55,no
APPT-010138,male,no,no,yes,yes,no,no,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,72.85,10,688.65,yes
APPT-010211,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,bank_transfer,19.5,57,1167.6,no
APPT-010240,male,yes,yes,no,yes,no,yes,dsl,yes,yes,yes,yes,yes,two_years,no,bank_transfer,85.45,71,6029.9,no
APPT-010275,female,yes,yes,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,two_years,yes,e_invoice,115.5,72,8425.15,no
APPT-010315,male,no,no,no,yes,yes,yes,dsl,yes,no,no,yes,no,one_month,no,direct_debit,69.5,18,1199.4,no
APPT-010473,male,yes,no,no,yes,yes,yes,dsl,no,yes,yes,yes,yes,two_years,yes,credit_card,85.45,72,6227.5,no
APPT-010484,female,no,no,no,yes,yes,yes,fiber_optic,yes,yes,yes,yes,yes,one_year,yes,credit_card,115.05,62,7133.45,no
APPT-010617,female,no,no,no,yes,yes,no,fiber_optic,no,no,no,no,no,one_month,yes,e_invoice,75.5,3,220.6,yes
APPT-010619,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_year,no,direct_debit,20.6,6,116.6,no
APPT-010805,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,25.75,52,1345.85,no
APPT-010811,female,yes,yes,no,yes,no,no,dsl,no,yes,yes,no,no,one_year,yes,credit_card,54.15,45,2319.8,yes
APPT-010866,male,no,no,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,yes,bank_transfer,24.15,68,1498.85,no
APPT-010940,female,no,no,no,no,no,yes,dsl,yes,yes,yes,no,no,two_years,yes,bank_transfer,44.6,70,3058.15,no
APPT-010992,female,yes,yes,no,no,no,no,dsl,no,yes,yes,yes,yes,two_years,no,credit_card,53.65,72,3784,no
APPT-011117,male,yes,no,no,yes,yes,no,fiber_optic,no,no,no,no,no,one_month,yes,bank_transfer,73.85,16,1284.2,yes
APPT-011171,female,no,no,no,yes,yes,no,fiber_optic,yes,no,no,no,no,one_month,yes,e_invoice,79.05,6,434.5,yes
APPT-011222,female,yes,no,no,no,no,no,dsl,no,no,no,no,yes,one_month,no,e_invoice,35,1,35,no
APPT-011488,female,yes,yes,no,yes,no,no,dsl,yes,yes,yes,no,no,one_month,no,bank_transfer,61.4,32,1864.65,no
APPT-011567,male,no,no,no,yes,no,no,dsl,no,no,yes,no,yes,one_month,no,direct_debit,60.65,3,196.9,no
APPT-011576,male,no,no,yes,yes,yes,no,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,81.35,3,233.7,yes
APPT-011615,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,credit_card,19.85,27,470,no
APPT-011680,male,no,no,no,no,no,no,dsl,no,no,no,no,no,one_month,no,direct_debit,24.4,1,24.4,no
APPT-011698,female,no,yes,no,no,no,no,dsl,yes,no,no,no,no,one_month,no,direct_debit,29.8,7,201.95,no
APPT-011700,female,yes,no,no,yes,no,yes,dsl,yes,yes,yes,yes,yes,two_years,yes,credit_card,84.4,71,5969.3,no
APPT-011747,male,yes,yes,no,yes,no,no,dsl,yes,yes,no,no,yes,two_years,yes,bank_transfer,61.4,14,815.55,no
APPT-011791,male,no,no,no,no,no,yes,dsl,yes,yes,yes,no,no,two_years,yes,bank_transfer,43.7,62,2618.3,no
APPT-011839,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,credit_card,19.5,53,1050.5,no
APPT-011929,male,yes,yes,no,yes,no,no,fiber_optic,yes,yes,no,no,no,one_month,no,e_invoice,81.05,64,5135.35,no
APPT-011978,male,yes,no,no,yes,no,no,dsl,no,no,no,no,no,one_month,no,credit_card,44.7,1,44.7,yes
APPT-012021,male,no,no,no,yes,no,yes,dsl,yes,no,no,no,no,one_year,no,e_invoice,53.75,52,2790.65,no
APPT-012087,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,no,direct_debit,19.95,5,109.6,no
APPT-012104,female,no,no,yes,yes,yes,no,fiber_optic,no,yes,no,yes,no,one_month,no,credit_card,89,15,1288.3,no
APPT-012114,female,yes,no,no,no,no,yes,dsl,no,yes,no,yes,yes,two_years,yes,e_invoice,54.2,72,3937.45,yes
APPT-012134,male,no,no,yes,no,no,no,dsl,no,no,no,no,yes,one_month,yes,bank_transfer,34.65,23,768.45,no
APPT-012206,male,yes,yes,no,yes,no,no,fiber_optic,yes,no,no,no,no,one_month,no,bank_transfer,75,22,1573.95,no
APPT-012215,male,no,yes,no,yes,no,no,dsl,yes,no,no,no,no,one_month,yes,e_invoice,49.4,4,184.4,yes
APPT-012221,male,no,no,yes,yes,yes,no,fiber_optic,no,no,no,no,yes,one_month,yes,credit_card,84.4,9,732.5,yes
APPT-012261,male,yes,yes,no,yes,no,no,dsl,yes,no,no,no,yes,one_year,no,credit_card,59.45,55,3157,no
APPT-012361,female,no,no,no,yes,yes,yes,fiber_optic,no,yes,no,yes,yes,one_year,yes,bank_transfer,104.8,36,3886.45,no
APPT-012415,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_month,yes,direct_debit,20.25,1,20.25,no
APPT-012442,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.05,8,201.7,no
APPT-012456,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,one_month,yes,direct_debit,24.4,10,253.9,no
APPT-012477,female,no,no,no,yes,yes,no,fiber_optic,no,no,yes,yes,no,one_month,yes,e_invoice,88.35,18,1639.3,yes
APPT-012492,female,no,no,no,yes,no,yes,dsl,yes,yes,yes,yes,no,two_years,no,credit_card,77.35,71,5550.1,no
APPT-012585,female,yes,yes,no,yes,yes,yes,fiber_optic,no,yes,no,yes,yes,one_year,yes,e_invoice,106.15,59,6256.2,no
APPT-012642,female,yes,yes,no,no,no,yes,dsl,no,no,yes,yes,yes,one_year,yes,e_invoice,56.15,51,2898.95,no
APPT-012655,female,no,no,no,yes,yes,yes,fiber_optic,yes,yes,no,yes,no,one_month,yes,credit_card,102.95,67,6886.25,yes
APPT-012671,female,no,no,no,yes,no,no,dsl,yes,no,yes,no,no,one_year,no,direct_debit,55.15,13,742.9,no
APPT-012689,male,no,no,yes,yes,no,no,dsl,no,no,no,no,no,one_month,yes,direct_debit,45.85,1,45.85,no
APPT-012781,male,yes,no,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,25.4,72,1797.1,no
APPT-012805,female,yes,no,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,25.5,51,1281.25,no
APPT-012920,female,no,no,no,yes,no,no,dsl,no,no,yes,no,yes,one_month,yes,direct_debit,60.95,10,629.55,no
APPT-012997,female,no,no,no,yes,yes,yes,fiber_optic,yes,no,yes,yes,yes,one_year,yes,bank_transfer,109.55,32,3608,no
APPT-012998,male,yes,no,yes,yes,yes,yes,fiber_optic,no,no,no,yes,yes,one_month,yes,e_invoice,99.25,7,665.45,yes
APPT-013132,male,no,no,yes,no,no,no,dsl,yes,yes,no,yes,yes,one_year,yes,e_invoice,56.45,71,3985.35,no
APPT-013384,male,no,no,no,yes,yes,no,fiber_optic,no,no,no,yes,yes,one_year,no,direct_debit,94.35,43,3921.3,no
APPT-013542,male,no,no,yes,yes,no,no,fiber_optic,no,no,no,no,yes,one_month,yes,e_invoice,79.4,15,1156.1,yes
APPT-013641,female,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,no,credit_card,25.25,22,555.4,no
APPT-013861,male,no,no,yes,yes,yes,no,fiber_optic,no,yes,no,no,no,one_month,yes,credit_card,80.55,18,1411.65,no
APPT-013904,female,no,no,no,yes,yes,no,no_internet,no,no,no,no,no,one_year,no,e_invoice,25.2,11,245.15,no
APPT-013910,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,credit_card,19.9,71,1397.3,no
APPT-014057,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,yes,bank_transfer,25.2,72,1798.9,no
APPT-014083,female,no,no,yes,yes,yes,yes,fiber_optic,no,no,no,yes,yes,one_year,yes,e_invoice,100,55,5509.3,yes
APPT-014117,male,no,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,e_invoice,19.95,46,907.05,no
APPT-014229,female,no,no,no,yes,yes,no,fiber_optic,no,no,no,no,no,one_month,yes,e_invoice,75.35,7,564.65,no
APPT-014269,female,no,yes,no,yes,no,no,no_internet,no,no,no,no,no,one_year,no,direct_debit,20.05,7,96.8,no
APPT-014286,male,no,no,no,yes,yes,no,fiber_optic,yes,yes,no,no,no,one_year,yes,credit_card,84.3,64,5289.05,no
APPT-014389,female,no,no,no,yes,no,no,dsl,no,no,no,no,no,one_month,no,e_invoice,45.15,9,416.45,yes
APPT-014490,male,no,no,no,yes,yes,no,fiber_optic,no,yes,no,no,no,one_month,yes,e_invoice,79.45,2,145.15,no
APPT-014491,female,yes,no,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.65,67,1335.2,no
APPT-014494,female,no,no,no,yes,no,yes,dsl,yes,yes,no,no,no,one_month,no,bank_transfer,59.65,42,2536.55,no
APPT-014512,male,yes,no,no,yes,yes,yes,fiber_optic,no,yes,no,yes,no,one_year,yes,e_invoice,94.65,46,4312.5,no
